,id_hecho,fecha,rol,vehiculo_victima,sexo_victima,edad_victima,gravedad,Victima_fatal,Victima_no_fatal
3134,LC-2019-0168837,2019-03-19,,,MASCULINO,34.0,LEVE,0,1
3135,LC-2019-0168989,2019-03-19,,,MASCULINO,27.0,LEVE,0,1
3136,LC-2019-0169132,2019-03-19,,,MASCULINO,27.0,LEVE,0,1
3137,LC-2019-0169331,2019-03-19,,,MASCULINO,29.0,LEVE,0,1
3138,LC-2019-0169445,2019-03-19,,,FEMENINO,13.0,LEVE,0,1
3139,LC-2019-0169525,2019-03-19,,,MASCULINO,,LEVE,0,1
3140,LC-2019-0169753,2019-03-19,,,MASCULINO,,LEVE,0,1
3141,LC-2019-0169753,2019-03-19,,,MASCULINO,,LEVE,0,1
3142,LC-2019-0169878,2019-03-19,,,MASCULINO,23.0,LEVE,0,1
3143,LC-2019-0169996,2019-03-19,,,MASCULINO,28.0,LEVE,0,1
3144,LC-2019-0170174,2019-03-19,,,MASCULINO,41.0,LEVE,0,1
3145,LC-2019-0170238,2019-03-19,,,MASCULINO,5.0,LEVE,0,1
3146,LC-2019-0170283,2019-03-19,,,MASCULINO,32.0,LEVE,0,1
3147,LC-2019-0170298,2019-03-19,,,MASCULINO,62.0,LEVE,0,1
3148,LC-2019-0170298,2019-03-19,,,MASCULINO,62.0,LEVE,0,1
3149,LC-2019-0170320,2019-03-19,,,MASCULINO,,LEVE,0,1
3150,LC-2019-0170320,2019-03-19,,,FEMENINO,,LEVE,0,1
3151,LC-2019-0158006,2019-03-14,,,MASCULINO,35.0,LEVE,0,1
3152,LC-2019-0170363,2019-03-19,,,FEMENINO,,LEVE,0,1
3153,LC-2019-0170464,2019-03-19,,,MASCULINO,,LEVE,0,1
3154,LC-2019-0170485,2019-03-19,,,FEMENINO,,LEVE,0,1
3155,LC-2019-0170560,2019-03-19,,,MASCULINO,55.0,LEVE,0,1
3156,LC-2019-0170621,2019-03-19,,,FEMENINO,,LEVE,0,1
3157,LC-2019-0170621,2019-03-19,,,FEMENINO,,LEVE,0,1
3158,LC-2019-0170621,2019-03-19,,,FEMENINO,,LEVE,0,1
3159,LC-2019-0170653,2019-03-19,,,MASCULINO,,LEVE,0,1
3160,LC-2019-0170818,2019-03-19,,,FEMENINO,31.0,LEVE,0,1
3161,LC-2019-0172509,2019-03-19,,,MASCULINO,34.0,LEVE,0,1
3162,LC-2019-0173934,2019-03-19,,,MASCULINO,,LEVE,0,1
3163,LC-2019-0174075,2019-03-19,,,FEMENINO,24.0,LEVE,0,1
3164,LC-2019-0223989,2019-03-19,,,MASCULINO,37.0,LEVE,0,1
3165,LC-2019-0170961,2019-03-20,,,MASCULINO,20.0,LEVE,0,1
3166,LC-2019-0171301,2019-03-20,,,MASCULINO,29.0,LEVE,0,1
3167,LC-2019-0171315,2019-03-20,,,MASCULINO,13.0,LEVE,0,1
3168,LC-2019-0171332,2019-03-20,,,FEMENINO,41.0,LEVE,0,1
3169,LC-2019-0310264,2019-05-17,,,MASCULINO,20.0,LEVE,0,1
3170,LC-2019-0171610,2019-03-20,,,MASCULINO,50.0,LEVE,0,1
3171,LC-2019-0172045,2019-03-20,,,MASCULINO,26.0,LEVE,0,1
3172,LC-2019-0172274,2019-03-20,,,MASCULINO,,LEVE,0,1
3173,LC-2019-0172297,2019-03-20,,,MASCULINO,35.0,LEVE,0,1
3174,LC-2019-0172301,2019-03-20,,,FEMENINO,,LEVE,0,1
3175,LC-2019-0172569,2019-03-20,,,MASCULINO,39.0,LEVE,0,1
3176,LC-2019-0172595,2019-03-20,,,MASCULINO,36.0,LEVE,0,1
3177,LC-2019-0172595,2019-03-20,,,MASCULINO,36.0,LEVE,0,1
3178,LC-2019-0172595,2019-03-20,,,FEMENINO,35.0,LEVE,0,1
3179,LC-2019-0172601,2019-03-20,,,FEMENINO,26.0,LEVE,0,1
3180,LC-2019-0172822,2019-03-20,,,MASCULINO,36.0,LEVE,0,1
3181,LC-2019-0173103,2019-03-20,,,FEMENINO,27.0,LEVE,0,1
3182,LC-2019-0173165,2019-03-20,,,MASCULINO,29.0,LEVE,0,1
3183,LC-2019-0173206,2019-03-20,,,FEMENINO,31.0,LEVE,0,1
3184,LC-2019-0173206,2019-03-20,,,MASCULINO,31.0,LEVE,0,1
3185,LC-2019-0173333,2019-03-20,,,MASCULINO,30.0,LEVE,0,1
3186,LC-2019-0173419,2019-03-20,,,FEMENINO,33.0,LEVE,0,1
3187,LC-2019-0173759,2019-03-20,,,FEMENINO,,LEVE,0,1
3188,LC-2019-0173821,2019-03-20,,,MASCULINO,25.0,LEVE,0,1
3189,LC-2019-0173844,2019-03-20,,,FEMENINO,,LEVE,0,1
3190,LC-2019-0173854,2019-03-20,,,MASCULINO,27.0,LEVE,0,1
